Date,Network,Profile,Impressions,Engagements,AER
2023-09-28T15:16:00Z,Instagram,Perfil C,13594,356,0.0262
2023-10-11T16:19:00Z,Twitter,Perfil B,13835,594,0.0429
2023-06-30T11:30:00Z,Instagram,Perfil C,13867,0,0
2023-06-30T11:21:00Z,Instagram,Perfil C,13950,0,0
2023-10-20T12:49:00Z,Twitter,Perfil B,13956,193,0.0138
2023-06-30T12:09:00Z,Instagram,Perfil C,14038,0,0
2023-09-19T07:18:00Z,Twitter,Perfil B,14166,383,0.027000000000000003
2023-06-30T11:21:00Z,Instagram,Perfil C,14219,0,0
2023-06-30T08:51:00Z,Instagram,Perfil C,14269,0,0
2023-08-29T06:34:00Z,Instagram,Perfil C,14433,415,0.0288
2023-03-10T11:14:00Z,Twitter,Perfil A,14439,65,0.0045000000000000005
2023-03-16T14:52:00Z,Instagram,Perfil C,14633,374,0.0256
2023-06-30T11:20:00Z,Instagram,Perfil C,14690,0,0
2023-05-04T10:38:00Z,Twitter,Perfil A,14726,421,0.0286
2023-06-16T13:45:00Z,Instagram,Perfil C,14730,577,0.0392
2023-03-29T13:29:00Z,Twitter,Perfil A,14760,405,0.0274
2023-10-26T15:57:00Z,Twitter,Perfil A,14858,927,0.062400000000000004
2023-08-25T10:58:00Z,Twitter,Perfil B,14957,363,0.024300000000000002
2023-01-11T12:21:00Z,Twitter,Perfil A,15140,256,0.0169
2023-08-17T13:44:00Z,Twitter,Perfil B,15307,572,0.0374
2023-08-16T14:47:00Z,Twitter,Perfil A,15357,382,0.024900000000000002
2023-07-04T13:08:00Z,Instagram,Perfil C,15452,589,0.0381
2023-05-19T08:17:00Z,Twitter,Perfil A,15471,432,0.0279
2023-08-13T17:38:00Z,Instagram,Perfil C,15477,689,0.044500000000000005
2023-09-29T14:58:00Z,Instagram,Perfil C,15540,629,0.0405
2023-10-18T07:12:00Z,Twitter,Perfil A,15585,396,0.0254
2023-09-19T07:28:00Z,Twitter,Perfil B,15600,575,0.0369
2023-07-01T11:14:00Z,Instagram,Perfil C,15663,611,0.039
2023-04-12T15:08:00Z,Twitter,Perfil A,15717,819,0.0521
2023-08-13T06:00:00Z,Instagram,Perfil C,15779,653,0.0414
2023-09-19T20:29:00Z,Twitter,Perfil B,15897,347,0.0218
2023-06-30T15:47:00Z,Instagram,Perfil C,16000,0,0
2023-08-10T16:50:00Z,Instagram,Perfil C,16186,676,0.0418
2023-07-12T13:29:00Z,Instagram,Perfil C,16198,644,0.0398
2023-08-30T13:43:00Z,Twitter,Perfil A,16254,92,0.005699999999999999
2023-06-13T15:19:00Z,Twitter,Perfil A,16258,769,0.0473
